database,RFUT100G,RFUT100GP,RFUT100H,RFUT100HP,RFUT100Q,RFUT100QP
alcohol,0.7335553754394643,0.7446657791443554,0.7548022766901799,0.7342120006208547,0.7467640471984808,0.7381135183531041
amphet,0.7188663162887539,0.732184197007465,0.7075614440143035,0.7118125752351669,0.7110250343461687,0.7252717624697043
amyl,0.8440863356126884,0.8428273072471788,0.8637803482887285,0.8528878229396817,0.8397686932071012,0.842688970934738
appendicitis,0.7595416666666663,0.7617777777777777,0.7553333333333332,0.7536805555555555,0.7602777777777778,0.7632499999999998
australian,0.8640048234730751,0.8657116451177574,0.8659544947977886,0.866855404640634,0.8665327456358014,0.8648834878760178
automobile,0.9744111111111111,0.9747111111111115,0.9733077777777775,0.9730966666666666,0.9746544444444447,0.9746455555555557
balance,0.638602738056084,0.6372914103138243,0.643093871076265,0.6346351064805963,0.6390832832444177,0.636626349784001
banana,0.891836304725609,0.8924337934024197,0.8922727981251926,0.8929371622234099,0.8918352814534891,0.89271094584765
bands,0.7203927376970855,0.7139823220258004,0.7127608695652176,0.7096631629240326,0.7189006211180127,0.7144565217391304
banknote,0.9912963761863676,0.9937553925798099,0.992116048317515,0.9929357204486624,0.9927739430543572,0.9919542709232095
benzos,0.6580948262337618,0.6693256469729546,0.6877083106194757,0.6821618509783816,0.6592143445624656,0.6587113020692608
biodeg,0.8512180814354726,0.8499482401656314,0.8477657004830919,0.8534109730848863,0.852567287784679,0.8590355417529331
breast,0.6495921052631579,0.6487659356725145,0.6363093567251462,0.6385900584795322,0.6452590643274853,0.6468480994152046
bupa,0.7196857142857144,0.7233380952380952,0.7266238095238096,0.7274119047619049,0.7227595238095236,0.7261333333333337
caff,0.6703193839771737,0.666178133417106,0.6798245252863241,0.6724353565332537,0.6659698172685721,0.664743155572744
cannabis,0.6707659592456015,0.6721928956294736,0.6584287383636094,0.660815904174503,0.6649533984784919,0.6732231599617753
car,0.9846758880266618,0.9869282133353684,0.9801899775496662,0.9832114069447799,0.9866419400389779,0.9880928123022049
chess,0.9870750360004624,0.9868631281737571,0.9875881442754385,0.9878931886280283,0.987316423576684,0.987246619279625
choc,0.8001920256243767,0.7992925198696411,0.8065874622553709,0.8058864531913429,0.8022601810835244,0.7985515408610367
cleveland,0.7153159706959706,0.7157465430402928,0.7102444963369962,0.7137927243589742,0.7166546657509157,0.7184816300366301
climate,0.575,0.575,0.659,0.6469591836734695,0.6364795918367347,0.614
cloud,0.6687499999999998,0.6944444444444444,0.690277777777778,0.6916666666666667,0.711111111111111,0.6902777777777777
cmc,0.6740475809372188,0.6870051869078428,0.6772894830204355,0.6814425906040437,0.6743616914284833,0.6845774970392716
coil2000,0.5147963363243385,0.5175132965502572,0.5181105401130756,0.5203890066532988,0.5173706914903871,0.5196325927758004
coke,0.7630660883733607,0.7504609540795792,0.7780865513784414,0.773217060998052,0.7653333921592079,0.7567785072125144
column_2C,0.812857142857143,0.8154761904761905,0.8007142857142856,0.8202380952380954,0.8202380952380952,0.8226190476190476
column_3C,0.9109523809523807,0.9035449735449733,0.8936574074074072,0.9066931216931214,0.8920370370370367,0.903174603174603
contraceptive,0.6728230264156164,0.6788287337667142,0.6729925546295275,0.6777969060562661,0.6728450201151864,0.679127913418537
crack,0.8788383489425463,0.8787112326563589,0.8785568215016069,0.8785714285714287,0.8772529666263236,0.8768836164322581
credit-g,0.652142857142857,0.6645238095238095,0.6602380952380951,0.669047619047619,0.6609523809523807,0.6702380952380953
crx,0.8726219759168033,0.8733419540229889,0.8729631362889986,0.8734598522167485,0.8732220853858783,0.873955582922824
ctg,0.9878794246831915,0.9884541373268695,0.9896269768330423,0.990182532388598,0.9884967086338088,0.9896269768330426
dermatology,0.994462222222222,0.9944922222222224,0.9944592063492059,0.9945509523809519,0.9945233333333333,0.9942744444444445
diabetes,0.7231623931623933,0.7361965811965813,0.7203817663817663,0.7264928774928774,0.7228660968660969,0.7163105413105412
diabetic_retinopathy,0.7046702704820105,0.6963065789215976,0.7100892140157078,0.7144759778287014,0.7004352978044146,0.69752482519537
diagnosis,1.0,1.0,1.0,1.0,1.0,1.0
ecoli,0.9729632227891156,0.972425255102041,0.9736699829931976,0.9736491921768707,0.9716289540816326,0.9717806547619046
ecstasy,0.7523512622111395,0.749035837870926,0.758701599912391,0.7586163490033051,0.7499087504725004,0.7441562555334198
faults,0.9568717271675313,0.9571358660713114,0.9568007842738885,0.9584705726343004,0.9591317243476041,0.9582975073963578
fertility,0.5638888888888888,0.5638888888888888,0.5527777777777776,0.5583333333333331,0.5583333333333331,0.5527777777777776
flags,0.9418452380952381,0.9392857142857144,0.9413690476190478,0.9329464285714286,0.9431547619047619,0.9408035714285716
flare,0.8780656654197297,0.8809073957346277,0.8792011682859548,0.8807217564163103,0.878404707868982,0.8799761445759112
forest,0.9621693775350897,0.9585684749045816,0.9596594517811623,0.9610295755729193,0.9596923784133539,0.9588640053974806
