database,RFUT100G,RFUT100GP,RFUT100H,RFUT100HP,RFUT100Q,RFUT100QP
alcohol,0.001482928971076858,0.001471563389424621,0.0014464480115397812,0.00146647032205397,0.001562742419919869,0.0015591252008928238
amphet,0.0015906114566463468,0.0015988454917444286,0.0015569263879378638,0.001544878926505996,0.0016775538747235378,0.0016687562336618622
amyl,0.0016211129771872862,0.001604609541268236,0.0013929379344861281,0.001387558943608283,0.0016721533396656964,0.0016515711316010752
appendicitis,0.0009359321728680019,0.0009819044458360654,0.0005876791566391087,0.0005811258522752595,0.0008800418388424175,0.0008819054879766401
australian,0.002038455756882648,0.0020384451767584697,0.0021025365475399946,0.0021177782309979077,0.0020443497978973523,0.002056998550933715
automobile,0.0006090959929900904,0.0006212475559945863,0.0006099998860552648,0.000621847388319327,0.0006219368261957655,0.00063617683319856
balance,2.983654787899083e-05,3.0623708026118205e-05,3.6385432005165464e-05,3.610818958163094e-05,3.1599575963346644e-05,3.4212126883502623e-05
banana,0.0027598055217592523,0.002992103766724947,0.0022666137421333975,0.002366355188766457,0.002444996911632037,0.0025831184540391168
bands,0.0005653306190002973,0.0005677746910503816,0.0005700763710078237,0.0005724545380952277,0.0005652639817567848,0.0005662805918096822
banknote,0.00735406930141044,0.007014409400278421,0.007516759294177987,0.007568369162394154,0.007421634460757271,0.0070080589745295544
benzos,0.001439044353987963,0.0014344338510088018,0.0015337433791088497,0.001538362410377352,0.001576518198204216,0.00158141271417424
biodeg,0.00033763272548569185,0.00033753228341634213,0.0003297950037941639,0.0003271444230881886,0.0003381003845053949,0.00033429736024597314
breast,0.004141175713608631,0.004232471969404608,0.004925338241490443,0.0050499816906002274,0.004516627616558676,0.00459989418879359
bupa,0.0006369948606843456,0.0006557353414818807,0.000787649387544161,0.0008084482030768645,0.0006991050382889767,0.00069997265622085
caff,0.001631272347593009,0.0016237359419193492,0.0016197420165927647,0.001622953492934898,0.00170265585335993,0.001691667179754689
cannabis,0.0016466068458892542,0.001628955661961961,0.0016192508587337339,0.001616936992227183,0.001702451963759314,0.001694114690942532
car,0.0009569747143921597,0.0008542623591649273,0.005319209519452401,0.005448656901935031,0.001476882956109688,0.0013885204059951672
chess,0.00020492972497371763,0.00020952748673195673,0.00019002667921385097,0.0001936078887186026,0.00019854625063345715,0.00020269492910137917
choc,0.001521030821760487,0.001520773096402644,0.001451849404788421,0.0014585410803001028,0.00160153008677427,0.001611898597333794
cleveland,0.0021457381602125753,0.0021516065227908266,0.002035298051695465,0.002045058802476947,0.0020766440913728163,0.002079108453998432
climate,0.0004930719262475297,0.0004909573482997275,0.0006479816135698418,0.000701863446133826,0.0005753155814877827,0.0006260297657759566
cloud,0.0003463677810336983,0.00042431425106757213,0.0003590455290150285,0.00040813411133201906,0.0003179683569923575,0.00044816984577423336
cmc,0.006697227621148725,0.0066905788151365286,0.006974627102921354,0.006958312066194468,0.006789896356722791,0.006880719354217224
coil2000,7.866759633250831e-05,7.750641901923606e-05,7.672775211930341e-05,7.54364004349294e-05,7.832471991542285e-05,7.714813223075274e-05
coke,0.001519752320752579,0.00151964569689472,0.0014006320324635262,0.0013838711734315819,0.0016119595494399931,0.001607772363464816
column_2C,0.0007282432255816373,0.0009066421036006607,0.0008536754825530729,0.0008732038434495637,0.0007374702620071234,0.0007071597171420768
column_3C,0.0010491813870133304,0.0010709316869175916,0.0008167778645663228,0.0008728614360344249,0.0009660746892523091,0.0010311481816706511
contraceptive,0.006712742231591701,0.006682030900651737,0.006962908599175326,0.006962777819507085,0.006834978492682969,0.006796032885157682
crack,0.001397518796597217,0.00138617267886267,0.00122972706351434,0.0012362383865209981,0.0014231588188041932,0.0014272026738187341
credit-g,0.0008728361816102901,0.0008830843825927895,0.0009208793720628958,0.0009498956607618721,0.0008824515682076987,0.0008984584242694435
crx,0.0019194453963047523,0.0019267239535791679,0.0020403369560798843,0.0020542051518185733,0.0019477361647707093,0.001954439516433488
ctg,0.00024852654548695427,0.00026221808892946204,0.0002513459119034731,0.00024566325564458636,0.0002463328357440447,0.0002565351645240989
dermatology,0.0002957989053740784,0.0002878443237949531,0.0002986841208607236,0.0002939725836014402,0.00030003146810799955,0.00029460086284373874
diabetes,0.001219118496674158,0.0012349627135222901,0.001266032165482329,0.0013843238922127139,0.001235389414236751,0.001332127644688103
diabetic_retinopathy,0.0007038164525788153,0.0007058680662616881,0.0007047319712378373,0.0007099550967860558,0.0007015155599845972,0.0007082177016755197
diagnosis,0.008361232608856174,0.009167329503108154,0.010110539118099348,0.009420975201895039,0.00852998201571106,0.008625567704417293
ecoli,0.007223742042967016,0.007152513736063371,0.007620741575840555,0.007571455730002402,0.00732280155037544,0.007281355664256525
ecstasy,0.001577229681785125,0.0015809715282735961,0.0015555134786776888,0.0015309115405294559,0.001662014803167948,0.0016668865027913578
faults,0.0001557505717658571,0.0001536587532988964,0.0001408246145056388,0.00014137720857106597,0.000159068744406048,0.0001587088005045259
fertility,0.0037454588833159526,0.0042520112815896075,0.0035221032659667195,0.003881892288038437,0.0038215009731635803,0.003769843485273082
flags,0.0007122506041771104,0.0007188329576455338,0.0007127374436107786,0.0007111109906720392,0.0007153112903648252,0.0007321845013054736
