database,FW10100G,FW10100GP,FW10100H,FW10100HP,FW10100Q,FW10100QP
alcohol,39.31168799184604,38.76829589093432,40.481331897962626,40.40975513122585,40.62521377347124,39.41335777444559
amphet,51.59984745027091,51.497659640112374,51.24203694601599,50.54437201954723,50.70163300349218,51.23785029659839
amyl,70.03142510102843,69.87432222701707,69.71531378642196,69.61088581472043,70.02947841801662,70.19908277870381
appendicitis,87.04545454545455,88.04545454545455,86.04545454545455,87.04545454545455,88.04545454545455,88.04545454545455
australian,87.1164900742906,87.11642918036777,86.67957617829738,87.11649007429057,86.82657410790404,86.83089757642186
automobile,88.13018925518922,85.1804029304029,85.64667277167277,84.67979242979243,88.72741147741145,87.916514041514
balance,82.39266198282591,82.55139214155605,82.71012230028622,83.03278688524588,81.75253708040596,82.55412438199323
banana,89.37775492661804,89.49124794536036,89.60417082699504,89.43443003451118,89.28313050410183,89.45312042930627
bands,76.4714714714715,76.46396396396398,73.9864864864865,75.09009009009011,73.44594594594597,74.27927927927928
banknote,99.12408759124087,99.27007299270073,99.27007299270076,99.19708029197082,99.34306569343066,99.27007299270073
benzos,52.14816503148332,52.521385843091494,53.58790170621124,52.790484483844224,52.895460042649844,53.00015416500378
biodeg,87.58646070910223,87.68169880434033,88.15068422143896,87.77242725827634,87.20277835372175,87.29801644895987
breast,77.26783433679988,74.70169677066232,73.27312534209088,73.66903849662472,75.82603539500093,76.19549352307975
bupa,74.17647058823529,72.45378151260505,73.31932773109243,73.61344537815127,75.02521008403362,74.77310924369746
caff,39.95102925532789,39.69128228062478,40.372774763899834,39.84382265913638,39.89594140468154,40.10284376184061
cannabis,40.32598379241382,39.151087276397476,40.213772252317426,40.64769232994708,40.6392272106465,40.52672637249177
car,98.032599809363,97.97780942049855,98.09342021975007,97.9788098948547,97.68878828439176,97.8615303507311
chess,98.87401914394431,99.06161710632678,98.96776914394431,99.12431364720729,99.09326018808778,98.99931364720729
choc,41.317232947901,42.21163391110734,41.917453716103175,42.22244254612238,42.67965198798784,42.28650649694485
cleveland,57.49990399385562,58.90399385560676,58.481374807987706,58.28974654377881,59.56355606758833,56.65466589861751
climate,91.86341401435737,92.41909662664378,92.59754780509495,91.86341401435737,92.04859919954256,92.04859919954256
cloud,39.07264957264958,36.90598290598291,36.75641025641026,38.35897435897436,37.35042735042734,40.35042735042734
cmc,55.73738933042314,54.31201676916752,53.77283664945047,55.12377771515666,53.90523243381174,54.38328692275421
coil2000,93.90149358669245,93.86076034689624,93.80981268724278,93.65715636773157,93.83026226689604,93.80983342718157
coke,56.66135799262734,55.75898193235655,55.91663160084214,55.91918584178647,56.39820903288394,56.50632607598552
column_2C,83.22580645161291,83.8709677419355,85.48387096774195,84.1935483870968,83.8709677419355,83.22580645161291
column_3C,85.80645161290325,84.1935483870968,85.80645161290325,85.80645161290325,84.51612903225808,85.16129032258067
contraceptive,53.69416221124938,54.43697023646196,53.82747715546939,54.98485285742803,54.44110766018724,54.239311651150516
crack,86.21337881380596,86.3197529515937,86.32030698356137,86.2659591574744,86.3197529515937,86.31919891962605
credit-g,75.8,76.4,77.2,76.8,76.9,76.9
crx,87.42693764568764,86.97712703962704,87.7347027972028,87.57837995337994,87.42693764568764,88.0377331002331
ctg,98.96620663373395,98.91947766177134,98.96620663373395,98.91947766177134,99.01359999866285,98.96687102670025
dermatology,98.0392156862745,98.0392156862745,98.0392156862745,98.0392156862745,98.31699346405227,97.76143790849672
diabetes,75.91934381408063,77.48120300751876,76.31066302118933,76.17737525632259,76.43711551606286,76.69685577580313
diabetic_retinopathy,69.49700149925037,69.67466266866569,70.71589205397302,70.28260869565217,69.93628185907045,70.10719640179909
diagnosis,100.0,100.0,100.0,100.0,100.0,100.0
ecoli,85.09061791100143,85.32521115407114,84.97167075658788,86.24193370047509,85.15834236920574,85.12987937110327
ecstasy,55.553495080239124,55.18528231983014,54.91899587732087,55.98669045944443,54.770408507819035,55.81745960392773
faults,74.74560944352062,75.78223362758143,75.57923151844356,75.11160952831507,76.19564909031175,76.19749453421308
fertility,89.05050505050505,88.05050505050505,88.05050505050505,86.05050505050505,88.05050505050505,89.05050505050505
flags,70.59532241923883,68.15214060105701,68.777140601057,69.85260108828221,68.50567595459236,67.87082512430808
flare,74.54388468082534,74.13580269739401,75.10655141319356,74.32751194616446,74.14071311516936,74.1416838004732
forest,88.73351072407677,89.1149251701971,90.28022583327797,89.89169741755758,89.12931247648228,89.12929603384654
gas,99.4465073223748,99.46084943443341,99.43212402000691,99.44653839905756,99.46805918768679,99.43215502242725
german,76.8,76.9,74.8,76.3,76.4,76.5
gesture,67.85108944357765,67.52688436604879,67.4257615228951,67.59876158594929,67.74017381722122,67.78046451452754
haberman,68.00336021505377,70.30443548387098,67.01478494623657,69.95026881720432,68.92943548387098,71.25201612903227
hayes-roth,82.91503267973857,80.48856209150328,82.91503267973857,80.36846405228758,82.91503267973857,80.41013071895426
heart,83.70370370370372,84.81481481481484,85.1851851851852,85.55555555555557,83.70370370370372,83.33333333333336
heart-c,84.19762699295514,82.86355209492032,83.50871338524288,83.18539117538008,84.53096032628848,82.85205784204675
heart-h,83.69376026272577,84.00328407224958,81.6231527093596,82.97947454844007,83.68144499178983,82.69376026272579
hepatitis,91.76587301587303,91.4484126984127,92.55952380952381,91.62698412698413,90.3373015873016,90.51587301587303
heroin,85.3248248771716,85.27106143631138,85.2704802099237,85.16266271500942,85.21700738225732,85.37661759731108
horse-colic,84.20104314841156,86.10834518729254,84.20104314841156,85.04148885727832,84.47842579421528,85.30425162004107
housevotes,96.6485507246377,96.6485507246377,96.6485507246377,96.6485507246377,96.6485507246377,96.6485507246377
ionosphere,93.15406162464986,93.73389355742297,94.01167133520076,92.85994397759103,93.72595704948647,94.01167133520073
iris,93.33333333333333,94.66666666666667,94.66666666666666,93.33333333333333,94.66666666666666,94.0
ketamine,79.21266968527503,79.10543030858595,79.05447883716545,79.10656217049879,79.1068229110815,79.15975060129634
knowledge,94.02289377289378,94.03479853479854,94.5521978021978,94.7967032967033,94.77838827838828,93.80219780219781
kr-vs-k,75.78766784500992,75.9124943189483,77.16965661245254,77.23457914622436,75.44170079622464,75.5020654268316
leaf,77.5331998497321,77.21286829956185,72.07552886181921,73.92964786109947,76.30047610692772,75.53698034343196
led7digit,57.929285404265066,60.23988993596198,56.65951852698108,56.48073512859695,58.84840909936668,61.69950234973398
legalh,61.85712579131342,62.27480611220458,62.06141974655337,62.16754274740494,62.16111931475105,62.32941109415293
letter,96.75127841337215,96.65107242376195,96.95995214150884,96.86041174240833,96.66594789876115,96.70054990724925
liver-disorders,71.7983193277311,72.68067226890759,72.10084033613447,73.54621848739497,72.40336134453783,73.26890756302521
lsd,61.16256410962747,60.95819231475913,59.72609068252767,60.477029684327064,60.68036961105797,61.15770666854365
lymphography,85.40079365079363,86.11507936507934,85.3531746031746,84.68650793650792,83.51190476190474,85.44841269841268
magic,88.1546695402009,88.05997979090122,87.9863509267058,88.02843680366422,88.07576923259809,88.14934833427661
