database,FW10100G,FW10100GP,FW10100H,FW10100HP,FW10100Q,FW10100QP
alcohol,0.001088814289626721,0.001086562631137231,0.0011030934569922848,0.0010957191998666792,0.001169648314024248,0.0011608095768671492
amphet,0.001172947539592398,0.0011654453591799468,0.0011498436870474992,0.0011437946804637822,0.001246118271022048,0.0012364962187315978
amyl,0.001182284120781937,0.001166564964969035,0.0009972503933979757,0.000992020577120047,0.001213364395035053,0.001192717606097414
appendicitis,1.8808764602812528e-07,2.0153366655268438e-07,2.212998266833514e-07,1.9499025239693146e-07,2.036530952027376e-07,1.9193687421995767e-07
australian,0.0011008797478633833,0.0010872146535790051,0.001139616994915933,0.001139249017897362,0.0011012283311414006,0.0011003074332329508
automobile,0.0002419919063873476,0.0002422439482548599,0.0002514347629968027,0.0002561198222342814,0.00024523325611861745,0.00024364093767592277
balance,4.28512696663162e-09,4.548027093706758e-09,4.6135033062655206e-09,5.744245989936939e-09,6.092232425058257e-09,5.556040722047713e-09
banana,4.023068159338427e-07,3.8383772364094086e-07,5.086972696881644e-10,7.218497401708378e-10,3.895651308175382e-10,5.591321600066315e-10
bands,0.0003074744787371575,0.00029859027164364844,0.00030652096598829626,0.0003048824771969015,0.0003067092385315977,0.0003005266018671898
banknote,0.00011805725535980453,0.00010668992558107577,0.0001463787140268789,0.00016566481013679485,0.0001152130272785014,0.00010625000603645533
benzos,0.001028899241957522,0.0010254902627674816,0.0011325179760445548,0.001122560866326639,0.001149307679815544,0.001151337464999552
biodeg,0.00024201615259081852,0.00023856185366674486,0.00023310251232376293,0.00023058366438187273,0.0002376619627204657,0.000235043664255539
breast,0.0016092559281272341,0.0015920620726881881,0.0021457059750985227,0.0021014492091384037,0.0018490723668297161,0.0018139510498582849
bupa,2.001086197343271e-08,1.9414228242294705e-08,2.7577290691785346e-08,2.2674606458976538e-08,2.883996765425249e-08,2.460699807067217e-08
caff,0.0012331517592383508,0.0012198236727918618,0.0012213303138633512,0.001225694388858934,0.001305466164716948,0.001288842238859478
cannabis,0.0012266688903615638,0.0012219980496887312,0.0012268428229910238,0.001227389803679623,0.001291316964643642,0.001281374783966735
car,2.8039007043267695e-07,2.3189732869437053e-07,0.0001727338712981498,0.00017860172671216198,6.378999323701741e-06,1.5969592911582399e-06
chess,0.00011392697069376489,0.00010928716299223199,9.987188284028237e-05,9.916787660039678e-05,0.00010789234294625579,0.0001042233388750116
choc,0.001112054582185344,0.001106666791354896,0.0010519080407783742,0.0010539484618504367,0.001186898461527509,0.001192578183793938
