database,RP100G,RP100GP,RP100H,RP100HP,RP100Q,RP100QP
alcohol,0.7427549210241674,0.7512894952292866,0.7550638337298443,0.7393103661861318,0.7592207359219424,0.728629093775494
amphet,0.7125445994248594,0.707303490558863,0.7257272518721393,0.7153676350627433,0.7022163188397157,0.7224129729805684
amyl,0.8424350155836908,0.8443327182877234,0.859654195800775,0.8548278503435324,0.8367368945787781,0.8449589828349964
appendicitis,0.7569444444444444,0.7631944444444444,0.7374999999999999,0.7687499999999999,0.7687499999999999,0.7493055555555556
australian,0.8639665230072702,0.8626169953419531,0.8635281441817945,0.8622998563406036,0.8648439336554787,0.8713693352487922
automobile,0.9734999999999999,0.9733333333333333,0.9733333333333334,0.9723333333333333,0.9756666666666668,0.974
balance,0.6283135393027948,0.6446934141801709,0.6450304646720191,0.6637575934763592,0.6452708334985947,0.6296213068170841
banana,0.8931708412276791,0.8928703597852936,0.8930752554091507,0.8908562802092674,0.8929978354899235,0.8915297959962192
bands,0.7225513616817963,0.7121118012422359,0.6894768275203058,0.6992952699474442,0.72651696129957,0.7062111801242235
banknote,0.9929357204486624,0.9935936151855046,0.9935936151855046,0.9919542709232095,0.9937553925798103,0.992116048317515
benzos,0.6494907016828384,0.6537652375797125,0.7030934799081816,0.6987964845002426,0.670866827750812,0.6566614219836303
biodeg,0.8575776397515529,0.8372101449275362,0.8547601794340924,0.8456228433402344,0.8546704623878538,0.8485593512767426
breast,0.6291008771929826,0.6516008771929827,0.6293640350877194,0.6483771929824562,0.6633771929824561,0.637982456140351
bupa,0.7161904761904763,0.7057142857142857,0.718452380952381,0.7263095238095237,0.729047619047619,0.7304761904761905
caff,0.6703758179141532,0.6701876380305423,0.673060934659887,0.6622008678921014,0.6644168401624672,0.6529348495761605
cannabis,0.6798482909169121,0.6657286086761518,0.6818425186362553,0.6470375789677092,0.6655866831215433,0.6720165233219144
car,0.9827078720380158,0.9878097577918149,0.9833276202295339,0.9852219911430439,0.9839546526867101,0.9886309517962347
chess,0.9853318634095902,0.9870526852284716,0.9871830629712512,0.9885810410089839,0.9872147591248674,0.9866920417064339
