database,RP100G,RP100GP,RP100H,RP100HP,RP100Q,RP100QP
alcohol,0.0015075447286605139,0.001513882529890961,0.0014737374392589397,0.001461920114641766,0.001569924844832518,0.001579037100898217
amphet,0.00160051525021313,0.0015992982689248109,0.001545070645342133,0.001547646163529024,0.001671195114753353,0.001673789403676512
amyl,0.0016251310344718088,0.001627794260342352,0.0013920988051342679,0.001397095452909405,0.001672778767979948,0.0016755922165231619
appendicitis,0.0009177986523675229,0.0010219324600794304,0.0006318363792761558,0.0004999605555258632,0.0008151809995079286,0.0009291598460546429
australian,0.00204808548879739,0.002069056666990753,0.00208800113268654,0.0021084872118122067,0.002076530470134302,0.002072815927712866
automobile,0.0006136966004959962,0.0006190907069318958,0.0006136681763511284,0.0006374533186257087,0.0006254120324953873,0.0006212509829030114
balance,2.8579980104037377e-05,4.663834090900611e-05,4.204353138299561e-05,3.537499768072528e-05,3.8941496694006825e-05,4.0747560599032956e-05
banana,0.0028443635795898717,0.003280496834502558,0.0023852368106883916,0.002414682609049556,0.00246208279469623,0.0027351866630436258
bands,0.0005597671196183094,0.00055869864702178,0.0005747689519393353,0.000579428449213718,0.0005670242785694101,0.000558099119565769
banknote,0.00747342052194933,0.0069182108630668595,0.008003797192615398,0.00826978403468143,0.007148107759287345,0.007681056007413081
benzos,0.001437163984267937,0.00143426373356528,0.001548685509818037,0.0015475211339758888,0.0015946240691914171,0.001578910809311775
biodeg,0.0003431289811971034,0.00033585720126772656,0.0003334983052575958,0.0003273824925518443,0.00033677534212328287,0.00033874180444551946
breast,0.004243741239751916,0.00416913632316142,0.0050351060149027346,0.005084298202809914,0.004541805279365149,0.004687464470069553
bupa,0.0006233960615119989,0.0006586085324120439,0.0008024630641654902,0.0008574168376763015,0.0007462402913029383,0.0007340426834568078
caff,0.00164738473743032,0.0016319901169285938,0.001623242259005469,0.0016089828346112181,0.0017204911502586128,0.0017072785937904968
cannabis,0.0016297275804214623,0.0016385582172902431,0.001617878764351793,0.0016229626430619253,0.001736239401693709,0.001706355721626545
car,0.000927864599511103,0.0007932156932201813,0.005218089026983343,0.00532344403170786,0.001373311372589338,0.0013854314564064798
chess,0.00020349261930761024,0.00020910887842455792,0.0001916901984330309,0.00019348370789479708,0.00019509603922659397,0.0002029821132573851
choc,0.0015457800320702571,0.0015368977202667345,0.0014651560829960812,0.0014683949007025447,0.001612719883603798,0.0016140611190984789
cleveland,0.002154476787328665,0.0022081870862137214,0.002028758474613192,0.002071354251825687,0.0020506469623023447,0.002098414259579645
climate,0.0004767804791335154,0.0004956657841236681,0.0006821369357131689,0.0006628189524381107,0.0005864523647630083,0.0006085643699259814
cloud,0.0004143410165820806,0.00036494446442985175,0.0004189030376971066,0.00041390751075106897,0.00046805939704885934,0.000429590267422401
cmc,0.006826492255889607,0.006685696234531642,0.007014834153377861,0.0070277389457772624,0.006845768960162717,0.006832437501066238
coil2000,7.889580528782522e-05,7.71205313489441e-05,7.637454976192237e-05,7.539099146851376e-05,7.860504921564966e-05,7.696569903050621e-05
coke,0.0015528121068135042,0.0015410450280241449,0.00141795318241286,0.0014108127727873539,0.0016276790718283269,0.00160616456608288
column_2C,0.0008281138593214134,0.0008773402019026111,0.0007924866507381955,0.0008956367674762793,0.0008393749104611478,0.0008184454187589448
column_3C,0.0009600247149859853,0.0010310547164876422,0.0007018731790064967,0.0008125334172731089,0.001025660988498467,0.0010279939457383236
contraceptive,0.006770569218129854,0.006785142794056923,0.0070949879911754166,0.006969406801209613,0.0068672700536688,0.006836894730762268
crack,0.0013971453989116331,0.0013916287545352498,0.001241224503691323,0.0012264989166933288,0.0014225471812262158,0.0014224231718505478
credit-g,0.0008764085669458723,0.0008934040515505175,0.0009155433691090236,0.0009264021111505304,0.0008883493889328055,0.0009065762751064166
crx,0.00195235228265122,0.0019350558278161448,0.0020732101487139208,0.002042141561215138,0.001950673994549917,0.0019897203721997757
ctg,0.0002513987381474868,0.0002534903506320381,0.0002463719812977955,0.00024894791383763427,0.0002475127118427795,0.00025393738373387663
dermatology,0.00029363242514348123,0.00028169376739818733,0.0003089111875328662,0.00029337974807191103,0.0002947114408551135,0.00029875349785041564
diabetes,0.001214687332910039,0.0012207466575274088,0.0013399665667315867,0.001324858834534934,0.001288256570610913,0.001325303441153462
diabetic_retinopathy,0.0007110104800942729,0.0007053172385842632,0.0007139166419613867,0.0007105665609730222,0.0007046988285863019,0.00070844343030225
diagnosis,0.009279566465826774,0.009138261935265145,0.008669193646552466,0.009648255362613847,0.00901920913078998,0.008550234876006074
ecoli,0.007184596898582969,0.007218503357447642,0.007687066955515366,0.007596269579415123,0.007362883988248407,0.007290629334899534
ecstasy,0.0016009751533568963,0.0016027177122257328,0.0015422508816009919,0.0015426277142059513,0.0016699559712805088,0.0016730595613591922
faults,0.00015629683536414848,0.0001556748521956423,0.0001407835603180525,0.0001397559755293676,0.00016120943744329282,0.00015959389069644903
fertility,0.003753484099068176,0.004054590355070364,0.003521709898239829,0.004134634747302966,0.0036541056939699383,0.003848173926127966
flags,0.000704854796187243,0.0007134042605237056,0.0007183277495056218,0.0007214332356374233,0.0007065926767164965,0.0007309548223775146
flare,0.004686246206102753,0.004554211343606127,0.004504011573362143,0.004543352873879162,0.004780507875100809,0.004806703521924122
forest,0.00011554960785010581,0.00011366353818711784,0.00010024009683266319,9.258685781391441e-05,0.00010837392549590604,0.00010583365753555354
gas,4.712256206009955e-06,4.884188748404441e-06,5.981804276161305e-06,5.989417429149831e-06,5.133071829613043e-06,5.1560104179763734e-06
german,0.0008912190288166727,0.0008809251596720016,0.0009184525677206495,0.0009386162859417715,0.0008948280476194587,0.0009070931683011112
gesture,6.103713714179588e-06,6.352539625482061e-06,5.9670940615500526e-06,5.919610537745686e-06,6.433725259430042e-06,6.880294984704026e-06
haberman,0.008825938852213475,0.008497533450844039,0.010339467589301916,0.01029057724500313,0.009821658953317304,0.009626543938109794
hayes-roth,0.0010568301179781586,0.0033443924857583505,0.0014323780089355112,0.004327667711896733,0.0010350184600257794,0.003689350759038015
heart,0.001760925016391597,0.001724370131002012,0.0017325139276138288,0.0017825707118323357,0.0016908025178845403,0.0016891150932492722
heart-c,0.0016264215509303708,0.001668010832509837,0.0017278094548857231,0.0016971856831934262,0.00163641491127257,0.001580592669666495
heart-h,0.003180336278080753,0.0031265513805459042,0.0034441049241758885,0.0033143435883358054,0.0033163026773302467,0.0032174984406924366
hepatitis,0.002037676461872653,0.001982244966907051,0.001921645060299089,0.0019500804051127338,0.0018914335463334486,0.0019032564970898323
heroin,0.0013598410046474251,0.0013749161249221838,0.0013825736480238217,0.0013713055746218741,0.001455075858942778,0.001462320036367039
horse-colic,0.0005877800062744051,0.0006039422883383105,0.0006000587070888336,0.000607121403062928,0.0006132724754475139,0.0006101721058573771
housevotes,0.0011360750966198361,0.0013021368374509603,0.0010297914223748718,0.0011111059794170455,0.0010560211552174273,0.0011981339987949193
ionosphere,0.0001451097289590053,0.0001507364962684332,0.00011191864567577322,0.0001083876458658831,0.00011395012138088289,0.000130974054493312
iris,0.02195304247313058,0.023051834127107297,0.02092175848380077,0.021840582591974262,0.022731898264482384,0.024521047540082892
ketamine,0.00153330653387373,0.001515557001323282,0.0015408211269961052,0.0015155022722759411,0.001612440289939479,0.0016024180882579172
knowledge,0.007364396754277756,0.008223195557701925,0.011977876870383371,0.012719843151332611,0.01055412330525696,0.010928124121391507
