database,RFUT100G,RFUT100GP,RFUT100H,RFUT100HP,RFUT100Q,RFUT100QP
alcohol,38.61201039237436,39.669417377368674,40.249886790832946,40.26569030532597,40.002262569883676,40.093471919774764
amphet,50.60060700789729,51.33046779991646,51.07911101470653,50.27954083444886,50.86713941818456,51.065383970514816
amyl,70.51018787026456,69.66312588945873,70.08741162457946,69.50501561686849,70.19377940959676,70.13408100710951
appendicitis,87.34727272727272,87.09454545454538,87.33636363636361,87.06909090909089,87.46545454545452,87.4581818181818
australian,86.60509438558034,86.68773718182923,86.78990135184506,86.81385214955546,86.8463768115942,86.61333089757643
automobile,88.4787393162393,88.60159645909646,87.78843101343098,87.74492673992674,88.2355372405372,88.22689560439558
balance,82.06592766068175,82.47202706219097,82.021652354931,82.39923497267756,82.01221701795471,82.21556336195677
banana,89.4880052301079,89.48731814369323,89.52270680786562,89.5424811093385,89.47821321797863,89.51605241580488
bands,76.33558558558559,76.18873873873873,75.70765765765769,75.65765765765767,76.15165165165168,76.07372372372375
banknote,99.12461652385485,99.34306569343067,99.19708029197082,99.27007299270076,99.27007299270073,99.1970802919708
benzos,52.574023300485536,52.47412338938352,52.78653458194724,52.893807025342085,52.420315030866355,52.53883775500846
biodeg,87.20550832814985,87.49122261386414,87.11116870550835,87.77336028751124,87.39147487732396,88.15339691754788
breast,75.77741288086116,75.0447546068236,74.16430395913157,73.70062944718119,74.98965517241382,74.52699324940708
bupa,73.39411764705883,74.00521008403362,74.1690756302521,74.38621848739494,73.72521008403362,74.25613445378148
caff,40.68624139170586,40.327429780204895,40.476269572278866,40.90700153871034,39.89924918023267,40.33577909886787
cannabis,39.950209210362736,39.7937629118266,39.89637061096919,39.95166065569742,39.469481787075274,40.904187499021724
car,97.79996005828244,97.71716126139438,98.24555355663992,98.27987780482844,97.84531014515285,97.6907921620821
chess,98.73387406103978,98.70443820113955,98.78519663945903,98.8070500507679,98.75704227538886,98.74266527917425
choc,41.06245174828126,41.575039313176184,41.90390322092745,42.38066316369193,42.48727819292436,41.32144871722902
