database,FW10100G,FW10100GP,FW10100H,FW10100HP,FW10100Q,FW10100QP
alcohol,0.7491481467079381,0.7312326720215239,0.7550551689499564,0.7548416201832875,0.7602403021506488,0.7314901935901693
amphet,0.7171177507195748,0.7405433499418429,0.7190623191317955,0.7335618246879634,0.7060582033458724,0.7116545498222268
amyl,0.8406524917918645,0.8412528561546269,0.8648428576985655,0.8553575159681905,0.8423412184644345,0.8444088157906136
appendicitis,0.7437499999999999,0.7687499999999999,0.7374999999999999,0.7437499999999999,0.7687499999999999,0.7687499999999999
australian,0.8691084410778807,0.8697701449653911,0.8645531322101778,0.8694593182708632,0.8661797483783904,0.8668477645727222
automobile,0.9736111111111111,0.9661111111111109,0.9662222222222221,0.9617777777777778,0.9757222222222222,0.9741666666666667
balance,0.6303283047629625,0.6304124746743437,0.6481416404638544,0.6323472189424213,0.6279631411909025,0.6470872696537364
banana,0.8905530585572942,0.8926082556372357,0.893233601722895,0.8921316353029571,0.8899314523348121,0.8922234126282216
bands,0.725394171046345,0.7203774486383182,0.6954968944099378,0.7039178213091256,0.6900501672240804,0.6954491161012901
banknote,0.9912963761863676,0.9927739430543572,0.9927739430543572,0.9919542709232095,0.9934318377911993,0.9927739430543572
benzos,0.6715344653078349,0.682391188465195,0.7128307179527189,0.7048451002376706,0.6634621041583318,0.6724992710617175
biodeg,0.8519824016563147,0.8527760524499655,0.8610593512767426,0.8547498274672186,0.8504934437543135,0.8498291925465837
breast,0.6621271929824564,0.629232456140351,0.6157456140350879,0.6226900584795322,0.641140350877193,0.6619956140350878
bupa,0.7276190476190477,0.7079761904761905,0.7173809523809523,0.7204761904761904,0.7382142857142859,0.7317857142857144
caff,0.6672024239783162,0.6679226505790451,0.673709651419406,0.6628309422126615,0.6636936189846143,0.6495489879585065
cannabis,0.6673290282951031,0.6576847546223361,0.6612422264873399,0.6783354314277447,0.6607535569912548,0.6985184061844353
car,0.9854039890523142,0.9890487759506899,0.9868524187961988,0.9872023900133948,0.9850298584927769,0.9904271702836296
chess,0.988634029763344,0.9905969640598695,0.989532233356158,0.9911406277179189,0.9907882377659541,0.9898903805342677
choc,0.8005659224994641,0.7996998236368972,0.8076942429594063,0.7991387716963191,0.8000565717982786,0.8065224726901701
cleveland,0.7104136904761903,0.7107470238095237,0.7209136904761905,0.707032738095238,0.7466011904761907,0.7000744047619047
climate,0.5225,0.555,0.5650000000000001,0.5315000000000001,0.5415000000000001,0.5325
cloud,0.7041666666666666,0.6972222222222222,0.6722222222222222,0.6944444444444444,0.6715277777777777,0.6909722222222221
cmc,0.6883145950019621,0.6809828961084395,0.671269498353173,0.6878762589007824,0.672352392487556,0.6802601724621198
coil2000,0.5176887074573749,0.5150484466335298,0.519610483351624,0.516389478517301,0.5165165158787617,0.5211972321244556
coke,0.7650187070056662,0.7472174708221098,0.782104481251559,0.7887549610566661,0.7671786717652072,0.7483334332877714
column_2C,0.8002380952380953,0.8154761904761905,0.8247619047619048,0.8178571428571428,0.8102380952380953,0.8080952380952382
column_3C,0.902989417989418,0.8924338624338626,0.9048148148148147,0.9035185185185185,0.8978240740740739,0.9009259259259258
contraceptive,0.6701691237161025,0.6742035717308903,0.6660516187727186,0.6795753923778765,0.6687272387379882,0.6772776146510392
crack,0.8742894639488759,0.8765761249656956,0.8809523809523812,0.8809376837154617,0.8765761249656956,0.8789390398286105
credit-g,0.647142857142857,0.6628571428571426,0.6676190476190476,0.6742857142857143,0.6654761904761906,0.6692857142857143
