database,RP100G,RP100GP,RP100H,RP100HP,RP100Q,RP100QP
alcohol,38.303666256610946,38.54953035930938,39.9853114593261,40.40922217550021,40.10081314513187,39.87694289603901
amphet,50.5975193843774,51.34199085439226,50.97159627014544,51.03029584521822,50.919814832468475,51.39455988034259
amyl,69.98069020014995,69.60662484354468,69.56131833955934,69.97539831262642,70.24080760292718,70.29961423676393
appendicitis,86.13636363636363,87.13636363636363,86.04545454545455,88.04545454545455,88.04545454545455,87.95454545454545
australian,86.54092071611254,86.39179149920838,86.53665814151748,86.39593228595785,86.68164657167215,87.25934721714773
automobile,87.45024420024417,87.40262515262512,87.47206959706958,88.24130036630035,88.7968559218559,88.02762515262512
balance,81.9112672391361,81.91647150663543,81.9112672391361,82.55139214155608,81.91647150663543,82.23393182409575
banana,89.62296714853596,89.52894799292328,89.6039573614286,89.35899386921253,89.6041706926555,89.41581137704301
bands,76.74174174174176,75.93843843843845,73.4684684684685,74.54954954954954,76.44894894894898,74.83483483483485
banknote,99.27007299270073,99.34306569343066,99.34306569343069,99.19708029197082,99.34306569343065,99.19708029197078
benzos,52.09722527139438,52.1493356949469,52.62835869284429,53.21326439609004,52.89660394564684,52.47357843601111
biodeg,88.05817610062894,86.44628170571568,87.67902066486974,86.92067523671298,87.48583177828462,87.39596724030689
breast,73.63026819923374,74.72815179711736,73.64349571246126,74.75460682357237,76.910691479657,74.35778142674697
bupa,73.05042016806722,72.16806722689074,73.34453781512606,74.16806722689076,74.46218487394957,74.74789915966385
caff,40.054351840370224,40.16247127838711,40.03847277761507,39.79343650916936,39.90049062957964,40.486225640571924
cannabis,39.36921474412287,39.8969880426121,39.79379272585309,40.05973545726137,39.78457167285917,40.15881471236217
car,97.74491521428803,97.80439129020355,98.43924828031315,98.43924828031314,97.63198529053986,97.62964048171212
chess,98.56122525679697,98.71767118156188,98.74882321917944,98.87421506870922,98.74901914394431,98.68602871591648
choc,41.42147609573368,40.30990355910153,42.80997393559409,42.17963740776762,42.3150694548015,42.05537741567771
cleveland,58.560579877112126,58.84629416282642,56.184427803379414,57.61299923195084,58.88680875576036,57.55827572964669
climate,92.60428181182895,92.78609999364713,92.78273299028012,94.07242233657327,93.33155453910169,93.70891302966773
cloud,37.18376068376069,36.41452991452992,35.581196581196586,39.794871794871796,39.786324786324776,40.08119658119658
cmc,54.86222908913646,54.72201873451562,54.380068912437345,54.99135082870096,54.649842014037766,54.86130942217837
coil2000,93.80981268724278,93.77933534718142,93.78954976703864,93.60629166783329,93.86076034689623,93.75901020716088
coke,56.610989945355264,56.07422999373464,56.55271740720657,56.02330829885011,56.97912688934362,56.71226745220555
column_2C,82.90322580645163,82.90322580645163,84.1935483870968,83.8709677419355,84.51612903225809,84.1935483870968
column_3C,85.80645161290325,85.80645161290323,84.83870967741936,85.48387096774195,85.80645161290323,86.12903225806453
contraceptive,54.64980461545953,54.781709400859924,54.101430995532574,54.23977759095111,54.10231930684655,54.84652527823571
crack,86.2139328457736,86.266288866716,86.32030698356137,86.32030698356137,86.26684289868365,86.21448687774125
credit-g,76.0,76.2,77.0,76.3,76.3,77.0
crx,86.96765734265735,87.5784527972028,87.58551864801863,87.27068764568763,87.7347027972028,87.4222027972028
ctg,98.96620663373395,98.91947766177132,98.96620663373395,98.96620663373395,98.91881326880505,99.01359999866285
dermatology,97.46732026143789,97.76143790849672,97.1895424836601,97.74509803921566,97.74509803921566,97.48194014447883
diabetes,76.43882433356114,76.83014354066985,76.57211209842788,77.21975393028023,76.44224196855774,75.91763499658235
diabetic_retinopathy,68.97976011994004,69.15067466266868,70.6319340329835,70.8905547226387,70.7151424287856,70.63118440779611
diagnosis,100.0,100.0,100.0,100.0,100.0,100.0
ecoli,84.47391961878131,85.03109350701232,85.12570533306702,85.04957751351813,85.4215002639426,83.9149667931689
ecstasy,55.18468337020555,55.55039542551299,55.344655502099364,55.657744451993814,55.40291379822902,55.235923092359926
